feature,feature value,n_samples,precision,recall,fbeta
workclass,Private,4578,0.8587360594795539,0.6923076923076923,0.7665929203539822
workclass,State-gov,254,0.8142857142857143,0.7808219178082192,0.7972027972027972
workclass,Self-emp-not-inc,498,0.8407079646017699,0.6050955414012739,0.7037037037037037
workclass,Self-emp-inc,212,0.8429752066115702,0.864406779661017,0.8535564853556484
workclass,Federal-gov,191,0.8428571428571429,0.8428571428571429,0.8428571428571429
workclass,Local-gov,387,0.8181818181818182,0.8181818181818182,0.8181818181818182
workclass,?,389,0.8076923076923077,0.5,0.6176470588235294
workclass,Without-pay,4,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,Some-college,1485,0.8385650224215246,0.6750902527075813,0.7480000000000001
education,HS-grad,2085,0.8961038961038961,0.4,0.5531062124248498
education,Bachelors,1053,0.8112798264642083,0.8311111111111111,0.8210757409440176
education,Masters,369,0.8611111111111112,0.8985507246376812,0.8794326241134751
education,Assoc-acdm,198,0.8780487804878049,0.7659574468085106,0.8181818181818182
education,7th-8th,141,1.0,0.16666666666666666,0.2857142857142857
education,11th,225,1.0,0.45454545454545453,0.625
education,Assoc-voc,273,0.8979591836734694,0.6984126984126984,0.7857142857142857
education,Prof-school,116,0.8602150537634409,0.9523809523809523,0.903954802259887
education,9th,115,1.0,0.6666666666666666,0.8
education,5th-6th,62,1.0,0.5,0.6666666666666666
education,10th,183,1.0,0.25,0.4
education,Doctorate,77,0.8769230769230769,1.0,0.9344262295081968
education,12th,98,1.0,0.4,0.5714285714285715
education,1st-4th,23,1.0,1.0,1.0
education,Preschool,10,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Divorced,920,0.9791666666666666,0.4563106796116505,0.6225165562913907
marital-status,Married-civ-spouse,2950,0.8354114713216958,0.763677811550152,0.797935688765383
marital-status,Never-married,2126,0.9787234042553191,0.44660194174757284,0.6133333333333333
marital-status,Separated,209,1.0,0.47368421052631576,0.6428571428571429
marital-status,Widowed,208,1.0,0.2631578947368421,0.4166666666666667
marital-status,Married-spouse-absent,96,1.0,0.375,0.5454545454545454
marital-status,Married-AF-spouse,4,1.0,0.6666666666666666,0.8
feature,feature value,n_samples,precision,recall,fbeta
occupation,Adm-clerical,726,0.8591549295774648,0.6354166666666666,0.7305389221556885
occupation,Exec-managerial,838,0.855,0.8614609571788413,0.8582183186951067
occupation,Machine-op-inspct,378,0.9444444444444444,0.3617021276595745,0.5230769230769231
occupation,Craft-repair,821,0.9438202247191011,0.46408839779005523,0.6222222222222221
occupation,Prof-specialty,828,0.8255528255528255,0.8571428571428571,0.8410513141426784
occupation,Sales,729,0.8273809523809523,0.7239583333333334,0.7722222222222224
occupation,Handlers-cleaners,273,0.8333333333333334,0.4166666666666667,0.5555555555555556
occupation,Other-service,667,1.0,0.2692307692307692,0.42424242424242425
occupation,Protective-serv,136,0.8064516129032258,0.5952380952380952,0.684931506849315
occupation,Priv-house-serv,26,1.0,1.0,1.0
occupation,Transport-moving,317,0.8387096774193549,0.40625,0.5473684210526316
occupation,?,389,0.8076923076923077,0.5,0.6176470588235294
occupation,Farming-fishing,193,0.9166666666666666,0.39285714285714285,0.55
occupation,Tech-support,189,0.84,0.8235294117647058,0.8316831683168315
occupation,Armed-Forces,3,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Not-in-family,1702,0.9885057471264368,0.4574468085106383,0.6254545454545454
relationship,Wife,322,0.8188405797101449,0.7902097902097902,0.804270462633452
relationship,Husband,2590,0.8377110694183865,0.7632478632478632,0.7987477638640429
relationship,Unmarried,702,1.0,0.37777777777777777,0.5483870967741935
relationship,Own-child,1019,1.0,0.17647058823529413,0.3
relationship,Other-relative,178,0.8333333333333334,0.625,0.7142857142857143
feature,feature value,n_samples,precision,recall,fbeta
race,White,5595,0.8476987447698745,0.7093837535014006,0.7723980175371711
race,Black,599,0.8363636363636363,0.7076923076923077,0.7666666666666666
race,Other,55,0.8,0.6666666666666666,0.7272727272727272
race,Asian-Pac-Islander,193,0.8727272727272727,0.7741935483870968,0.8205128205128205
race,Amer-Indian-Eskimo,71,0.8571428571428571,0.6,0.7058823529411764
feature,feature value,n_samples,precision,recall,fbeta
sex,Female,2126,0.8520710059171598,0.6180257510729614,0.7164179104477613
sex,Male,4387,0.8475609756097561,0.727204783258595,0.7827835880933227
feature,feature value,n_samples,precision,recall,fbeta
native-country,United-States,5870,0.8486122792262405,0.7031358885017421,0.7690548780487806
native-country,Mexico,114,1.0,0.3333333333333333,0.5
native-country,Puerto-Rico,22,1.0,0.8333333333333334,0.9090909090909091
native-country,El-Salvador,20,1.0,1.0,1.0
