feature,feature value,n_samples,precision,recall,fbeta
workclass,Private,4541,0.7472826086956522,0.2636625119846596,0.3897944720056697
workclass,Local-gov,428,0.6363636363636364,0.21052631578947367,0.3163841807909604
workclass,Federal-gov,216,0.7333333333333333,0.2558139534883721,0.3793103448275862
workclass,Self-emp-not-inc,463,0.7450980392156863,0.25675675675675674,0.3819095477386934
workclass,?,354,0.5789473684210527,0.3142857142857143,0.40740740740740744
workclass,State-gov,254,0.8214285714285714,0.34328358208955223,0.4842105263157894
workclass,Self-emp-inc,252,0.9245283018867925,0.35507246376811596,0.5130890052356021
workclass,Without-pay,3,1.0,1.0,1.0
workclass,Never-worked,2,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,HS-grad,2063,0.6311475409836066,0.22254335260115607,0.32905982905982906
education,Some-college,1452,0.6371681415929203,0.2440677966101695,0.35294117647058826
education,Assoc-voc,286,0.7368421052631579,0.18421052631578946,0.29473684210526313
education,11th,249,0.5384615384615384,0.4666666666666667,0.5
education,7th-8th,112,0.4,0.14285714285714285,0.21052631578947364
education,Bachelors,1086,0.8481012658227848,0.28879310344827586,0.4308681672025723
education,Doctorate,90,0.9545454545454546,0.2916666666666667,0.4468085106382979
education,12th,93,0.6666666666666666,0.3333333333333333,0.4444444444444444
education,10th,187,0.5,0.375,0.42857142857142855
education,Assoc-acdm,189,0.6923076923076923,0.16071428571428573,0.26086956521739135
education,Masters,375,0.8666666666666667,0.3155339805825243,0.4626334519572954
education,Prof-school,104,1.0,0.4875,0.6554621848739496
education,5th-6th,79,0.0,0.0,1.0
education,9th,103,1.0,0.0,0.0
education,1st-4th,34,0.5,0.3333333333333333,0.4
education,Preschool,11,0.0,1.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Married-civ-spouse,3011,0.8509174311926605,0.2620056497175141,0.4006479481641468
marital-status,Divorced,897,0.6153846153846154,0.26373626373626374,0.36923076923076925
marital-status,Never-married,2099,0.3977272727272727,0.35,0.3723404255319149
marital-status,Married-spouse-absent,86,0.8,0.4,0.5333333333333333
marital-status,Separated,205,0.5,0.4,0.4444444444444445
marital-status,Widowed,206,0.46153846153846156,0.375,0.41379310344827586
marital-status,Married-AF-spouse,9,1.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
occupation,Machine-op-inspct,420,0.4827586206896552,0.22950819672131148,0.3111111111111111
occupation,Adm-clerical,740,0.6170212765957447,0.26126126126126126,0.3670886075949367
occupation,Farming-fishing,215,0.6363636363636364,0.25,0.358974358974359
